amount,installment_rate,present_residence,age,number_of_credits,people_liable,credit_history,purpose,personal_status,property,job,housing,telephone,foreign_worker,checking_account_status,savings_account_status,employment_years,duration,full_repaid
6527,4,4,34,1,2,existing_credit_paid,car_new,M_single,no_property,official,free,1,1,0,0,3,60,True
7432,2,2,54,1,1,delay_in_paying,car_new,F_not_single,life_insurance  ,official,rent,0,1,2,1,3,36,True
1922,4,2,37,1,1,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,2,1,3,12,False
2333,4,2,29,1,1,delay_in_paying,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,2,0,1,24,True
1680,3,1,35,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,official,own,0,1,-1,5,7,12,True
730,4,2,46,2,1,critical_account,radio_TV,M_single,life_insurance  ,unskilled,rent,1,1,0,0,7,7,True
1207,4,4,24,1,1,existing_credit_paid,car_new,F_not_single,life_insurance  ,official,rent,0,1,-1,1,1,24,False
4272,2,2,26,2,1,delay_in_paying,business,M_single,life_insurance  ,unskilled,own,0,1,0,3,3,30,True
7057,3,4,36,2,2,delay_in_paying,car_used,M_single,life_insurance  ,management,rent,1,1,2,0,5,20,True
1412,4,2,29,2,1,critical_account,business,F_not_single,real_estate ,management,own,1,1,0,1,3,12,True
3757,4,4,62,1,1,existing_credit_paid,car_new,F_not_single,no_property,official,free,1,1,0,1,7,24,True
1301,4,2,32,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,unskilled,own,0,1,2,1,7,18,True
2782,1,2,31,1,1,existing_credit_paid,car_new,F_not_single,other,management,own,0,1,0,5,5,21,True
1585,4,3,40,2,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,own,0,1,0,1,5,24,True
2186,1,4,33,1,1,existing_credit_paid,furniture_equipment,F_not_single,real_estate ,unskilled,rent,0,1,0,0,5,15,True
1534,1,1,23,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,official,rent,0,1,2,1,1,12,False
5801,2,4,49,1,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,rent,1,1,0,0,7,12,True
1967,4,4,20,1,1,existing_credit_paid,radio_TV,F_not_single,other,official,own,1,1,2,1,7,24,True
14318,4,2,57,1,1,existing_credit_paid,car_new,M_single,no_property,management,free,1,1,2,1,7,36,False
4716,1,3,44,2,2,critical_account,car_new,M_single,real_estate ,unskilled,own,0,1,-1,0,1,6,True
5371,3,2,28,2,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,own,0,1,-1,1,3,36,True
2476,4,4,46,1,1,existing_credit_paid,car_used,M_single,real_estate ,management,own,1,1,0,0,7,21,True
9034,4,1,29,1,1,existing_credit_paid,furniture_equipment,M_single,no_property,management,rent,1,1,2,3,1,36,False
1977,4,4,40,1,1,existing_credit_paid,education,M_single,no_property,management,own,1,1,-1,0,7,36,False
3416,3,2,27,1,1,existing_credit_paid,radio_TV,M_single,other,management,own,0,1,-1,1,3,27,True
4241,1,4,36,3,1,no_credit_taken,business,M_single,real_estate ,unskilled,own,1,1,2,1,3,24,False
6110,1,3,31,1,1,critical_account,education,M_single,no_property,official,free,1,1,0,1,3,48,True
754,4,4,38,2,1,existing_credit_paid,retraining,M_single,life_insurance  ,official,own,0,1,2,0,7,12,True
4370,3,2,26,2,2,delay_in_paying,radio_TV,M_single,life_insurance  ,official,own,1,1,-1,1,5,42,False
1715,4,1,26,1,1,existing_credit_paid,radio_TV,F_not_single,other,official,own,0,1,2,0,3,30,True
9157,2,2,27,1,1,delay_in_paying,radio_TV,M_single,no_property,management,free,0,1,2,0,3,60,True
2964,4,4,49,1,2,existing_credit_paid,car_used,M_single,no_property,official,free,1,1,-1,0,7,24,True
10722,1,1,35,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,unskilled,own,1,1,-1,1,1,47,True
1274,3,1,37,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,unskilled,own,0,1,-1,1,1,12,False
804,4,4,38,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,0,1,0,1,7,12,True
4933,2,2,25,2,1,critical_account,radio_TV,M_single,real_estate ,official,own,0,1,2,1,5,39,False
2708,2,3,27,2,1,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,0,1,1,15,True
1620,2,3,30,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,official,own,0,1,-1,1,3,12,True
4113,3,4,28,1,1,existing_credit_paid,car_used,F_not_single,other,official,rent,0,1,2,5,1,24,False
1028,4,3,36,2,1,critical_account,car_new,F_not_single,real_estate ,official,own,0,1,0,1,3,18,True
13756,2,4,63,1,1,critical_account,car_new,M_single,no_property,management,free,1,1,0,0,7,60,True
7596,1,4,63,2,1,critical_account,car_used,M_single,other,official,own,0,1,0,0,7,30,True
1449,3,2,27,2,1,existing_credit_paid,business,F_not_single,other,official,own,0,1,0,1,5,9,True
3832,2,1,22,1,1,existing_credit_paid,furniture_equipment,M_divorced,life_insurance  ,official,own,0,1,2,1,1,30,True
5324,1,4,35,1,1,existing_credit_paid,car_new,F_not_single,no_property,official,free,0,1,0,5,7,15,True
1049,4,4,21,1,1,critical_account,furniture_equipment,F_not_single,life_insurance  ,official,rent,0,1,-1,1,1,18,True
1582,4,4,46,2,1,critical_account,radio_TV,M_single,other,official,own,0,1,0,7,7,18,True
1082,4,4,48,2,1,no_credit_taken,car_new,M_single,other,official,own,0,1,-1,1,3,12,False
3049,1,1,45,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,unskilled,own,0,1,5,1,1,18,True
